attack_type,max_iter,learning_rate,targeted,target_strategy,target_class,dataset_label,identity_id,identity_name,identity_dir,source_image_path,adversarial_image_path,linf,mean_abs_perturbation,clean_pred_class,adv_pred_class,clean_confidence,adv_confidence,nn1_clean_pred_class,nn1_adv_pred_class,true_class
cw_linf,10,0.01,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0000.tiff,dataset/attacks/NN1/error_generic/cw/000_n007726_Samantha_Ruth_Prabhu/0000.tiff,0.010006,0.004934,7185,7185,0.993130624294281,0.9617483019828796,7185,2967,7185
cw_linf,10,0.01,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0001.tiff,dataset/attacks/NN1/error_generic/cw/000_n007726_Samantha_Ruth_Prabhu/0001.tiff,0.005,0.002932,7185,7185,0.6800576448440552,0.3862270414829254,7185,1168,7185
cw_linf,10,0.01,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0002.tiff,dataset/attacks/NN1/error_generic/cw/000_n007726_Samantha_Ruth_Prabhu/0002.tiff,0.005,0.003792,7185,7185,0.9991433620452881,0.9974036812782288,7185,7483,7185
cw_linf,10,0.01,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0003.tiff,dataset/attacks/NN1/error_generic/cw/000_n007726_Samantha_Ruth_Prabhu/0003.tiff,0.010006,0.006081,7185,7185,0.9558089971542358,0.6933872699737549,7185,7711,7185
cw_linf,10,0.01,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0004.tiff,dataset/attacks/NN1/error_generic/cw/000_n007726_Samantha_Ruth_Prabhu/0004.tiff,0.005,0.004051,7185,7185,0.9548133015632629,0.795685350894928,7185,4277,7185
cw_linf,10,0.01,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0005.tiff,dataset/attacks/NN1/error_generic/cw/000_n007726_Samantha_Ruth_Prabhu/0005.tiff,0.005,0.003689,7185,639,0.24420790374279022,0.06405854970216751,7185,639,7185
cw_linf,10,0.01,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0006.tiff,dataset/attacks/NN1/error_generic/cw/000_n007726_Samantha_Ruth_Prabhu/0006.tiff,0.010006,0.005892,7185,7185,0.8785525560379028,0.3472663164138794,7185,6688,7185
cw_linf,10,0.01,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0007.tiff,dataset/attacks/NN1/error_generic/cw/000_n007726_Samantha_Ruth_Prabhu/0007.tiff,0.005,0.003348,7185,7185,0.8683303594589233,0.49292173981666565,7185,7475,7185
cw_linf,10,0.01,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0008.tiff,dataset/attacks/NN1/error_generic/cw/000_n007726_Samantha_Ruth_Prabhu/0008.tiff,0.005,0.0032,7185,4236,0.6793072819709778,0.1064864993095398,7185,4236,7185
cw_linf,10,0.01,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0009.tiff,dataset/attacks/NN1/error_generic/cw/000_n007726_Samantha_Ruth_Prabhu/0009.tiff,0.005,0.003098,7185,4540,0.5636994242668152,0.1808375120162964,7185,4540,7185
cw_linf,10,0.01,False,none,-1,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0000.tiff,dataset/attacks/NN1/error_generic/cw/001_n002771_Felix_Neureuther/0000.tiff,0.010006,0.006135,2585,2585,0.9990994930267334,0.9975312948226929,2585,375,2585
cw_linf,10,0.01,False,none,-1,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0001.tiff,dataset/attacks/NN1/error_generic/cw/001_n002771_Felix_Neureuther/0001.tiff,0.005,0.003443,2585,2585,0.8727751970291138,0.7033728361129761,2585,4240,2585
cw_linf,10,0.01,False,none,-1,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0002.tiff,dataset/attacks/NN1/error_generic/cw/001_n002771_Felix_Neureuther/0002.tiff,0.005,0.002994,2585,2585,0.9705886244773865,0.9532312750816345,2585,5566,2585
cw_linf,10,0.01,False,none,-1,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0003.tiff,dataset/attacks/NN1/error_generic/cw/001_n002771_Felix_Neureuther/0003.tiff,0.005,0.004002,2585,2585,0.9998643398284912,0.9996827840805054,2585,4240,2585
cw_linf,10,0.01,False,none,-1,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0004.tiff,dataset/attacks/NN1/error_generic/cw/001_n002771_Felix_Neureuther/0004.tiff,0.005,0.003823,2585,2585,0.9758180379867554,0.7275395393371582,2585,2349,2585
cw_linf,10,0.01,False,none,-1,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0005.tiff,dataset/attacks/NN1/error_generic/cw/001_n002771_Felix_Neureuther/0005.tiff,0.005,0.003807,2585,2585,0.982508659362793,0.8154051899909973,2585,3525,2585
cw_linf,10,0.01,False,none,-1,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0006.tiff,dataset/attacks/NN1/error_generic/cw/001_n002771_Felix_Neureuther/0006.tiff,0.005,0.003503,2585,2585,0.9824784994125366,0.9434981346130371,2585,375,2585
cw_linf,10,0.01,False,none,-1,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0008.tiff,dataset/attacks/NN1/error_generic/cw/001_n002771_Felix_Neureuther/0008.tiff,0.005,0.003858,2585,2585,0.9959806203842163,0.9913451671600342,2585,5569,2585
cw_linf,10,0.01,False,none,-1,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0009.tiff,dataset/attacks/NN1/error_generic/cw/001_n002771_Felix_Neureuther/0009.tiff,0.005,0.003796,2585,2585,0.9830065369606018,0.9387902617454529,2585,2349,2585
cw_linf,10,0.01,False,none,-1,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0000.tiff,dataset/attacks/NN1/error_generic/cw/002_n006115_Mike_Posner/0000.tiff,0.005,0.004093,5658,5658,0.9203535914421082,0.7503454089164734,5658,4956,5658
cw_linf,10,0.01,False,none,-1,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0001.tiff,dataset/attacks/NN1/error_generic/cw/002_n006115_Mike_Posner/0001.tiff,0.005,0.003624,5658,5658,0.9530514478683472,0.8495855331420898,5658,3994,5658
cw_linf,10,0.01,False,none,-1,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0002.tiff,dataset/attacks/NN1/error_generic/cw/002_n006115_Mike_Posner/0002.tiff,0.005,0.003713,5658,5658,0.9428833723068237,0.900813639163971,5658,1818,5658
