attack_type,eps,targeted,target_strategy,target_class,dataset_label,identity_id,identity_name,identity_dir,source_image_path,adversarial_image_path,linf,mean_abs_perturbation,true_facenet_id,clean_pred_class,adv_pred_class,clean_true_class_confidence,adv_true_class_confidence,clean_correct_nn2,adv_correct_nn2,prediction_changed_nn2,transfer_success_nn2
pgd_error_generic,0.001,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0000.tiff,dataset/attacks/NN1/error_generic/pgd/eps_0_001/000_n007726_Samantha_Ruth_Prabhu/0000.tiff,0.001,0.000864,7185,7185,7185,0.9753343462944031,0.9694960117340088,1,1,0,0
pgd_error_generic,0.001,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0001.tiff,dataset/attacks/NN1/error_generic/pgd/eps_0_001/000_n007726_Samantha_Ruth_Prabhu/0001.tiff,0.001,0.000847,7185,7185,7185,0.2152068018913269,0.15284110605716705,1,1,0,0
pgd_error_generic,0.001,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0002.tiff,dataset/attacks/NN1/error_generic/pgd/eps_0_001/000_n007726_Samantha_Ruth_Prabhu/0002.tiff,0.001,0.000864,7185,7185,7185,0.9976246953010559,0.9967576861381531,1,1,0,0
pgd_error_generic,0.001,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0003.tiff,dataset/attacks/NN1/error_generic/pgd/eps_0_001/000_n007726_Samantha_Ruth_Prabhu/0003.tiff,0.001,0.000864,7185,7185,7185,0.960666298866272,0.9507685303688049,1,1,0,0
pgd_error_generic,0.001,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0004.tiff,dataset/attacks/NN1/error_generic/pgd/eps_0_001/000_n007726_Samantha_Ruth_Prabhu/0004.tiff,0.001,0.000853,7185,7185,7185,0.9691849946975708,0.9599339962005615,1,1,0,0
pgd_error_generic,0.001,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0005.tiff,dataset/attacks/NN1/error_generic/pgd/eps_0_001/000_n007726_Samantha_Ruth_Prabhu/0005.tiff,0.001,0.000861,7185,7185,7185,0.8349173069000244,0.8037089705467224,1,1,0,0
pgd_error_generic,0.001,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0006.tiff,dataset/attacks/NN1/error_generic/pgd/eps_0_001/000_n007726_Samantha_Ruth_Prabhu/0006.tiff,0.001,0.000866,7185,7185,7185,0.9872298836708069,0.9855595827102661,1,1,0,0
pgd_error_generic,0.001,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0007.tiff,dataset/attacks/NN1/error_generic/pgd/eps_0_001/000_n007726_Samantha_Ruth_Prabhu/0007.tiff,0.001,0.000857,7185,7185,7185,0.8203663229942322,0.718845009803772,1,1,0,0
pgd_error_generic,0.001,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0008.tiff,dataset/attacks/NN1/error_generic/pgd/eps_0_001/000_n007726_Samantha_Ruth_Prabhu/0008.tiff,0.001,0.000864,7185,7185,7185,0.5616050958633423,0.40766170620918274,1,1,0,0
pgd_error_generic,0.001,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0009.tiff,dataset/attacks/NN1/error_generic/pgd/eps_0_001/000_n007726_Samantha_Ruth_Prabhu/0009.tiff,0.001,0.000862,7185,4242,4242,0.1837530881166458,0.13936874270439148,0,0,0,0
pgd_error_generic,0.001,False,none,-1,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0000.tiff,dataset/attacks/NN1/error_generic/pgd/eps_0_001/001_n002771_Felix_Neureuther/0000.tiff,0.001,0.00087,2585,2585,2585,0.9896919131278992,0.9873844385147095,1,1,0,0
pgd_error_generic,0.001,False,none,-1,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0001.tiff,dataset/attacks/NN1/error_generic/pgd/eps_0_001/001_n002771_Felix_Neureuther/0001.tiff,0.001,0.000865,2585,2585,2585,0.9060958027839661,0.8748576045036316,1,1,0,0
pgd_error_generic,0.001,False,none,-1,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0002.tiff,dataset/attacks/NN1/error_generic/pgd/eps_0_001/001_n002771_Felix_Neureuther/0002.tiff,0.001,0.000869,2585,2585,2585,0.9809296131134033,0.9773733615875244,1,1,0,0
pgd_error_generic,0.001,False,none,-1,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0003.tiff,dataset/attacks/NN1/error_generic/pgd/eps_0_001/001_n002771_Felix_Neureuther/0003.tiff,0.001,0.00087,2585,2585,2585,0.9878586530685425,0.9855504035949707,1,1,0,0
