split,dataset_label,identity_id,identity_name,source_path,image_path
train,0,n007126,n007126,train/n007126/0251_01.jpg,/content/vggface2_subset/train/000_n007126_n007126/0000.jpg
train,0,n007126,n007126,train/n007126/0055_01.jpg,/content/vggface2_subset/train/000_n007126_n007126/0001.jpg
train,0,n007126,n007126,train/n007126/0132_01.jpg,/content/vggface2_subset/train/000_n007126_n007126/0002.jpg
train,0,n007126,n007126,train/n007126/0345_01.jpg,/content/vggface2_subset/train/000_n007126_n007126/0003.jpg
train,0,n007126,n007126,train/n007126/0062_01.jpg,/content/vggface2_subset/train/000_n007126_n007126/0004.jpg
train,0,n007126,n007126,train/n007126/0172_01.jpg,/content/vggface2_subset/train/000_n007126_n007126/0005.jpg
train,0,n007126,n007126,train/n007126/0205_01.jpg,/content/vggface2_subset/train/000_n007126_n007126/0006.jpg
train,0,n007126,n007126,train/n007126/0252_01.jpg,/content/vggface2_subset/train/000_n007126_n007126/0007.jpg
train,0,n007126,n007126,train/n007126/0167_01.jpg,/content/vggface2_subset/train/000_n007126_n007126/0008.jpg
train,0,n007126,n007126,train/n007126/0293_01.jpg,/content/vggface2_subset/train/000_n007126_n007126/0009.jpg
train,0,n007126,n007126,train/n007126/0213_02.jpg,/content/vggface2_subset/train/000_n007126_n007126/0010.jpg
train,0,n007126,n007126,train/n007126/0204_01.jpg,/content/vggface2_subset/train/000_n007126_n007126/0011.jpg
train,0,n007126,n007126,train/n007126/0168_01.jpg,/content/vggface2_subset/train/000_n007126_n007126/0012.jpg
train,0,n007126,n007126,train/n007126/0202_02.jpg,/content/vggface2_subset/train/000_n007126_n007126/0013.jpg
train,0,n007126,n007126,train/n007126/0137_01.jpg,/content/vggface2_subset/train/000_n007126_n007126/0014.jpg
train,0,n007126,n007126,train/n007126/0091_01.jpg,/content/vggface2_subset/train/000_n007126_n007126/0015.jpg
train,0,n007126,n007126,train/n007126/0063_02.jpg,/content/vggface2_subset/train/000_n007126_n007126/0016.jpg
train,0,n007126,n007126,train/n007126/0273_01.jpg,/content/vggface2_subset/train/000_n007126_n007126/0017.jpg
train,0,n007126,n007126,train/n007126/0364_01.jpg,/content/vggface2_subset/train/000_n007126_n007126/0018.jpg
train,0,n007126,n007126,train/n007126/0059_04.jpg,/content/vggface2_subset/train/000_n007126_n007126/0019.jpg
train,1,n005986,n005986,train/n005986/0101_02.jpg,/content/vggface2_subset/train/001_n005986_n005986/0000.jpg
train,1,n005986,n005986,train/n005986/0312_01.jpg,/content/vggface2_subset/train/001_n005986_n005986/0001.jpg
train,1,n005986,n005986,train/n005986/0311_01.jpg,/content/vggface2_subset/train/001_n005986_n005986/0002.jpg
train,1,n005986,n005986,train/n005986/0327_01.jpg,/content/vggface2_subset/train/001_n005986_n005986/0003.jpg
train,1,n005986,n005986,train/n005986/0129_01.jpg,/content/vggface2_subset/train/001_n005986_n005986/0004.jpg
train,1,n005986,n005986,train/n005986/0254_01.jpg,/content/vggface2_subset/train/001_n005986_n005986/0005.jpg
train,1,n005986,n005986,train/n005986/0204_02.jpg,/content/vggface2_subset/train/001_n005986_n005986/0006.jpg
train,1,n005986,n005986,train/n005986/0161_04.jpg,/content/vggface2_subset/train/001_n005986_n005986/0007.jpg
train,1,n005986,n005986,train/n005986/0407_01.jpg,/content/vggface2_subset/train/001_n005986_n005986/0008.jpg
train,1,n005986,n005986,train/n005986/0263_01.jpg,/content/vggface2_subset/train/001_n005986_n005986/0009.jpg
train,1,n005986,n005986,train/n005986/0154_01.jpg,/content/vggface2_subset/train/001_n005986_n005986/0010.jpg
train,1,n005986,n005986,train/n005986/0317_02.jpg,/content/vggface2_subset/train/001_n005986_n005986/0011.jpg
train,1,n005986,n005986,train/n005986/0019_04.jpg,/content/vggface2_subset/train/001_n005986_n005986/0012.jpg
train,1,n005986,n005986,train/n005986/0345_01.jpg,/content/vggface2_subset/train/001_n005986_n005986/0013.jpg
train,1,n005986,n005986,train/n005986/0402_01.jpg,/content/vggface2_subset/train/001_n005986_n005986/0014.jpg
train,1,n005986,n005986,train/n005986/0363_01.jpg,/content/vggface2_subset/train/001_n005986_n005986/0015.jpg
train,1,n005986,n005986,train/n005986/0269_03.jpg,/content/vggface2_subset/train/001_n005986_n005986/0016.jpg
train,1,n005986,n005986,train/n005986/0316_02.jpg,/content/vggface2_subset/train/001_n005986_n005986/0017.jpg
train,1,n005986,n005986,train/n005986/0383_01.jpg,/content/vggface2_subset/train/001_n005986_n005986/0018.jpg
train,1,n005986,n005986,train/n005986/0370_02.jpg,/content/vggface2_subset/train/001_n005986_n005986/0019.jpg
train,2,n004933,n004933,train/n004933/0354_01.jpg,/content/vggface2_subset/train/002_n004933_n004933/0000.jpg
train,2,n004933,n004933,train/n004933/0279_01.jpg,/content/vggface2_subset/train/002_n004933_n004933/0001.jpg
train,2,n004933,n004933,train/n004933/0168_02.jpg,/content/vggface2_subset/train/002_n004933_n004933/0002.jpg
train,2,n004933,n004933,train/n004933/0470_01.jpg,/content/vggface2_subset/train/002_n004933_n004933/0003.jpg
train,2,n004933,n004933,train/n004933/0007_01.jpg,/content/vggface2_subset/train/002_n004933_n004933/0004.jpg
train,2,n004933,n004933,train/n004933/0325_01.jpg,/content/vggface2_subset/train/002_n004933_n004933/0005.jpg
train,2,n004933,n004933,train/n004933/0181_01.jpg,/content/vggface2_subset/train/002_n004933_n004933/0006.jpg
train,2,n004933,n004933,train/n004933/0315_01.jpg,/content/vggface2_subset/train/002_n004933_n004933/0007.jpg
train,2,n004933,n004933,train/n004933/0071_01.jpg,/content/vggface2_subset/train/002_n004933_n004933/0008.jpg
train,2,n004933,n004933,train/n004933/0308_01.jpg,/content/vggface2_subset/train/002_n004933_n004933/0009.jpg
train,2,n004933,n004933,train/n004933/0263_01.jpg,/content/vggface2_subset/train/002_n004933_n004933/0010.jpg
train,2,n004933,n004933,train/n004933/0314_01.jpg,/content/vggface2_subset/train/002_n004933_n004933/0011.jpg
train,2,n004933,n004933,train/n004933/0358_01.jpg,/content/vggface2_subset/train/002_n004933_n004933/0012.jpg
train,2,n004933,n004933,train/n004933/0368_01.jpg,/content/vggface2_subset/train/002_n004933_n004933/0013.jpg
train,2,n004933,n004933,train/n004933/0409_01.jpg,/content/vggface2_subset/train/002_n004933_n004933/0014.jpg
train,2,n004933,n004933,train/n004933/0010_01.jpg,/content/vggface2_subset/train/002_n004933_n004933/0015.jpg
train,2,n004933,n004933,train/n004933/0114_01.jpg,/content/vggface2_subset/train/002_n004933_n004933/0016.jpg
train,2,n004933,n004933,train/n004933/0282_01.jpg,/content/vggface2_subset/train/002_n004933_n004933/0017.jpg
train,2,n004933,n004933,train/n004933/0036_01.jpg,/content/vggface2_subset/train/002_n004933_n004933/0018.jpg
train,2,n004933,n004933,train/n004933/0429_01.jpg,/content/vggface2_subset/train/002_n004933_n004933/0019.jpg
train,3,n004952,n004952,train/n004952/0078_01.jpg,/content/vggface2_subset/train/003_n004952_n004952/0000.jpg
train,3,n004952,n004952,train/n004952/0089_01.jpg,/content/vggface2_subset/train/003_n004952_n004952/0001.jpg
train,3,n004952,n004952,train/n004952/0125_03.jpg,/content/vggface2_subset/train/003_n004952_n004952/0002.jpg
train,3,n004952,n004952,train/n004952/0159_02.jpg,/content/vggface2_subset/train/003_n004952_n004952/0003.jpg
train,3,n004952,n004952,train/n004952/0183_01.jpg,/content/vggface2_subset/train/003_n004952_n004952/0004.jpg
train,3,n004952,n004952,train/n004952/0022_01.jpg,/content/vggface2_subset/train/003_n004952_n004952/0005.jpg
train,3,n004952,n004952,train/n004952/0281_03.jpg,/content/vggface2_subset/train/003_n004952_n004952/0006.jpg
train,3,n004952,n004952,train/n004952/0046_01.jpg,/content/vggface2_subset/train/003_n004952_n004952/0007.jpg
train,3,n004952,n004952,train/n004952/0295_01.jpg,/content/vggface2_subset/train/003_n004952_n004952/0008.jpg
train,3,n004952,n004952,train/n004952/0156_01.jpg,/content/vggface2_subset/train/003_n004952_n004952/0009.jpg
train,3,n004952,n004952,train/n004952/0297_01.jpg,/content/vggface2_subset/train/003_n004952_n004952/0010.jpg
train,3,n004952,n004952,train/n004952/0054_01.jpg,/content/vggface2_subset/train/003_n004952_n004952/0011.jpg
train,3,n004952,n004952,train/n004952/0347_02.jpg,/content/vggface2_subset/train/003_n004952_n004952/0012.jpg
train,3,n004952,n004952,train/n004952/0300_02.jpg,/content/vggface2_subset/train/003_n004952_n004952/0013.jpg
train,3,n004952,n004952,train/n004952/0294_01.jpg,/content/vggface2_subset/train/003_n004952_n004952/0014.jpg
train,3,n004952,n004952,train/n004952/0140_01.jpg,/content/vggface2_subset/train/003_n004952_n004952/0015.jpg
train,3,n004952,n004952,train/n004952/0032_02.jpg,/content/vggface2_subset/train/003_n004952_n004952/0016.jpg
train,3,n004952,n004952,train/n004952/0044_03.jpg,/content/vggface2_subset/train/003_n004952_n004952/0017.jpg
train,3,n004952,n004952,train/n004952/0356_03.jpg,/content/vggface2_subset/train/003_n004952_n004952/0018.jpg
train,3,n004952,n004952,train/n004952/0307_01.jpg,/content/vggface2_subset/train/003_n004952_n004952/0019.jpg
train,4,n004153,n004153,train/n004153/0351_01.jpg,/content/vggface2_subset/train/004_n004153_n004153/0000.jpg
train,4,n004153,n004153,train/n004153/0171_01.jpg,/content/vggface2_subset/train/004_n004153_n004153/0001.jpg
train,4,n004153,n004153,train/n004153/0317_01.jpg,/content/vggface2_subset/train/004_n004153_n004153/0002.jpg
train,4,n004153,n004153,train/n004153/0128_01.jpg,/content/vggface2_subset/train/004_n004153_n004153/0003.jpg
train,4,n004153,n004153,train/n004153/0358_01.jpg,/content/vggface2_subset/train/004_n004153_n004153/0004.jpg
train,4,n004153,n004153,train/n004153/0374_01.jpg,/content/vggface2_subset/train/004_n004153_n004153/0005.jpg
train,4,n004153,n004153,train/n004153/0027_01.jpg,/content/vggface2_subset/train/004_n004153_n004153/0006.jpg
train,4,n004153,n004153,train/n004153/0261_01.jpg,/content/vggface2_subset/train/004_n004153_n004153/0007.jpg
train,4,n004153,n004153,train/n004153/0336_01.jpg,/content/vggface2_subset/train/004_n004153_n004153/0008.jpg
train,4,n004153,n004153,train/n004153/0256_01.jpg,/content/vggface2_subset/train/004_n004153_n004153/0009.jpg
train,4,n004153,n004153,train/n004153/0316_01.jpg,/content/vggface2_subset/train/004_n004153_n004153/0010.jpg
train,4,n004153,n004153,train/n004153/0297_01.jpg,/content/vggface2_subset/train/004_n004153_n004153/0011.jpg
train,4,n004153,n004153,train/n004153/0038_02.jpg,/content/vggface2_subset/train/004_n004153_n004153/0012.jpg
train,4,n004153,n004153,train/n004153/0232_02.jpg,/content/vggface2_subset/train/004_n004153_n004153/0013.jpg
train,4,n004153,n004153,train/n004153/0198_01.jpg,/content/vggface2_subset/train/004_n004153_n004153/0014.jpg
train,4,n004153,n004153,train/n004153/0278_01.jpg,/content/vggface2_subset/train/004_n004153_n004153/0015.jpg
