dataset_label,identity_name,target_class,clean_pred_class,target_confidence,source_image_path,adversarial_image_path
3,"""Philip_Michael_Thomas""",1377,6487,1.3157663261154084e-06,dataset/clean_cropped/NN1/003_n006980_Philip_Michael_Thomas/0003.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_050/003_n006980_Philip_Michael_Thomas/0003.jpg
3,"""Philip_Michael_Thomas""",1377,6487,8.364951099792961e-06,dataset/clean_cropped/NN1/003_n006980_Philip_Michael_Thomas/0004.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_050/003_n006980_Philip_Michael_Thomas/0004.jpg
4,"""Drake""",8022,2148,1.2237999271746958e-06,dataset/clean_cropped/NN1/004_n002295_Drake/0002.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_050/004_n002295_Drake/0002.jpg
4,"""Drake""",917,2148,9.49122568272287e-06,dataset/clean_cropped/NN1/004_n002295_Drake/0006.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_050/004_n002295_Drake/0006.jpg
4,"""Drake""",8022,2148,4.3442664718895685e-06,dataset/clean_cropped/NN1/004_n002295_Drake/0007.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_050/004_n002295_Drake/0007.jpg
4,"""Drake""",8022,2148,2.332910298719071e-06,dataset/clean_cropped/NN1/004_n002295_Drake/0008.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_050/004_n002295_Drake/0008.jpg
4,"""Drake""",830,2148,4.065292614541249e-06,dataset/clean_cropped/NN1/004_n002295_Drake/0009.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_050/004_n002295_Drake/0009.jpg
5,"""Chris_Duhon""",4029,1503,8.322701887664152e-07,dataset/clean_cropped/NN1/005_n001597_Chris_Duhon/0007.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_050/005_n001597_Chris_Duhon/0007.jpg
16,"""Simon_Rattle""",271,7514,2.2609058305533836e-06,dataset/clean_cropped/NN1/016_n008084_Simon_Rattle/0000.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_050/016_n008084_Simon_Rattle/0000.jpg
16,"""Simon_Rattle""",5940,7514,1.3256360034574755e-05,dataset/clean_cropped/NN1/016_n008084_Simon_Rattle/0007.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_050/016_n008084_Simon_Rattle/0007.jpg
19,"""Paul_Le_Guen""",762,6357,1.4382772860699333e-05,dataset/clean_cropped/NN1/019_n006844_Paul_Le_Guen/0001.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_050/019_n006844_Paul_Le_Guen/0001.jpg
19,"""Paul_Le_Guen""",7404,6357,3.544929131749086e-05,dataset/clean_cropped/NN1/019_n006844_Paul_Le_Guen/0004.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_050/019_n006844_Paul_Le_Guen/0004.jpg
19,"""Paul_Le_Guen""",7076,6357,1.906370926008094e-05,dataset/clean_cropped/NN1/019_n006844_Paul_Le_Guen/0005.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_050/019_n006844_Paul_Le_Guen/0005.jpg
19,"""Paul_Le_Guen""",7076,6357,3.024109219040838e-06,dataset/clean_cropped/NN1/019_n006844_Paul_Le_Guen/0007.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_050/019_n006844_Paul_Le_Guen/0007.jpg
20,"""Govinda""",679,2966,1.3289098205859773e-05,dataset/clean_cropped/NN1/020_n003179_Govinda/0008.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_050/020_n003179_Govinda/0008.jpg
21,"""Begüm_Birgören""",5227,884,1.1122670002805535e-06,dataset/clean_cropped/NN1/021_n000932_Beg_m_Birg_ren/0004.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_050/021_n000932_Beg_m_Birg_ren/0004.jpg
22,"""Martín_Cáceres""",4508,5321,5.442294423119165e-06,dataset/clean_cropped/NN1/022_n005752_Mart_n_C_ceres/0001.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_050/022_n005752_Mart_n_C_ceres/0001.jpg
22,"""Martín_Cáceres""",2010,5321,4.003094363724813e-05,dataset/clean_cropped/NN1/022_n005752_Mart_n_C_ceres/0003.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_050/022_n005752_Mart_n_C_ceres/0003.jpg
22,"""Martín_Cáceres""",6396,5321,1.933861540237558e-06,dataset/clean_cropped/NN1/022_n005752_Mart_n_C_ceres/0007.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_050/022_n005752_Mart_n_C_ceres/0007.jpg
22,"""Martín_Cáceres""",6429,5321,3.866030510835117e-06,dataset/clean_cropped/NN1/022_n005752_Mart_n_C_ceres/0009.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_050/022_n005752_Mart_n_C_ceres/0009.jpg
23,"""Robbie_Farah""",2332,6884,9.04223634279333e-06,dataset/clean_cropped/NN1/023_n007405_Robbie_Farah/0006.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_050/023_n007405_Robbie_Farah/0006.jpg
27,"""Tomatito""",4792,8010,2.7752928872359917e-05,dataset/clean_cropped/NN1/027_n008620_Tomatito/0004.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_050/027_n008620_Tomatito/0004.jpg
29,"""Laura_Linney""",7719,4660,4.804892341780942e-06,dataset/clean_cropped/NN1/029_n005009_Laura_Linney/0003.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_050/029_n005009_Laura_Linney/0003.jpg
32,"""Malu_Mader""",8507,5062,1.2603350114659406e-06,dataset/clean_cropped/NN1/032_n005460_Malu_Mader/0007.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_050/032_n005460_Malu_Mader/0007.jpg
32,"""Malu_Mader""",7411,5062,3.23861371498424e-07,dataset/clean_cropped/NN1/032_n005460_Malu_Mader/0008.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_050/032_n005460_Malu_Mader/0008.jpg
34,"""Craig_Bellamy""",7394,1701,9.046336344908923e-06,dataset/clean_cropped/NN1/034_n001804_Craig_Bellamy/0001.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_050/034_n001804_Craig_Bellamy/0001.jpg
35,"""Thomas_Hitzlsperger""",5949,7925,2.903699623857392e-06,dataset/clean_cropped/NN1/035_n008526_Thomas_Hitzlsperger/0000.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_050/035_n008526_Thomas_Hitzlsperger/0000.jpg
35,"""Thomas_Hitzlsperger""",5949,7925,3.519547362884623e-06,dataset/clean_cropped/NN1/035_n008526_Thomas_Hitzlsperger/0002.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_050/035_n008526_Thomas_Hitzlsperger/0002.jpg
37,"""Martin_Bader""",6927,5298,9.609742846805602e-06,dataset/clean_cropped/NN1/037_n005727_Martin_Bader/0001.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_050/037_n005727_Martin_Bader/0001.jpg
37,"""Martin_Bader""",4177,5298,1.883233721855504e-06,dataset/clean_cropped/NN1/037_n005727_Martin_Bader/0004.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_050/037_n005727_Martin_Bader/0004.jpg
46,"""Esperanza_Spalding""",4336,2451,9.379220955452183e-07,dataset/clean_cropped/NN1/046_n002622_Esperanza_Spalding/0002.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_050/046_n002622_Esperanza_Spalding/0002.jpg
47,"""Pete_Rose""",3611,6444,2.2603959223488346e-05,dataset/clean_cropped/NN1/047_n006935_Pete_Rose/0001.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_050/047_n006935_Pete_Rose/0001.jpg
47,"""Pete_Rose""",4090,6444,5.6895205489126965e-06,dataset/clean_cropped/NN1/047_n006935_Pete_Rose/0005.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_050/047_n006935_Pete_Rose/0005.jpg
53,"""Danniella_Westbrook""",2919,1842,2.0398599644977367e-06,dataset/clean_cropped/NN1/053_n001960_Danniella_Westbrook/0004.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_050/053_n001960_Danniella_Westbrook/0004.jpg
66,"""Sümer_Tilmaç""",1004,7776,2.4474508109051385e-07,dataset/clean_cropped/NN1/066_n008368_S_mer_Tilma/0002.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_050/066_n008368_S_mer_Tilma/0002.jpg
66,"""Sümer_Tilmaç""",2796,7776,2.6752832127385773e-06,dataset/clean_cropped/NN1/066_n008368_S_mer_Tilma/0008.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_050/066_n008368_S_mer_Tilma/0008.jpg
68,"""David_Choquehuanca""",4012,1902,1.1732475286407862e-05,dataset/clean_cropped/NN1/068_n002026_David_Choquehuanca/0003.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_050/068_n002026_David_Choquehuanca/0003.jpg
70,"""Ismael_Blanco""",2691,3389,1.1605729014263488e-05,dataset/clean_cropped/NN1/070_n003629_Ismael_Blanco/0000.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_050/070_n003629_Ismael_Blanco/0000.jpg
70,"""Ismael_Blanco""",3923,3389,2.0824298189836554e-05,dataset/clean_cropped/NN1/070_n003629_Ismael_Blanco/0001.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_050/070_n003629_Ismael_Blanco/0001.jpg
71,"""Germaine_Greer""",6191,2845,3.18987003993243e-05,dataset/clean_cropped/NN1/071_n003050_Germaine_Greer/0004.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_050/071_n003050_Germaine_Greer/0004.jpg
71,"""Germaine_Greer""",8413,2845,4.357477337180171e-06,dataset/clean_cropped/NN1/071_n003050_Germaine_Greer/0005.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_050/071_n003050_Germaine_Greer/0005.jpg
71,"""Germaine_Greer""",6505,2845,0.00020706321811303496,dataset/clean_cropped/NN1/071_n003050_Germaine_Greer/0009.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_050/071_n003050_Germaine_Greer/0009.jpg
74,"""Adam_Darski""",7665,44,1.292757679038914e-05,dataset/clean_cropped/NN1/074_n000049_Adam_Darski/0005.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_050/074_n000049_Adam_Darski/0005.jpg
75,"""Martin_Schulz""",6346,5308,4.269105829735054e-06,dataset/clean_cropped/NN1/075_n005738_Martin_Schulz/0001.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_050/075_n005738_Martin_Schulz/0001.jpg
75,"""Martin_Schulz""",6346,5308,1.3091377695673145e-05,dataset/clean_cropped/NN1/075_n005738_Martin_Schulz/0005.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_050/075_n005738_Martin_Schulz/0005.jpg
75,"""Martin_Schulz""",2291,5308,1.3076841241854709e-05,dataset/clean_cropped/NN1/075_n005738_Martin_Schulz/0006.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_050/075_n005738_Martin_Schulz/0006.jpg
75,"""Martin_Schulz""",1895,5308,8.822627933113836e-06,dataset/clean_cropped/NN1/075_n005738_Martin_Schulz/0007.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_050/075_n005738_Martin_Schulz/0007.jpg
76,"""Mamta_Kulkarni""",7468,5068,3.495527562336065e-05,dataset/clean_cropped/NN1/076_n005466_Mamta_Kulkarni/0002.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_050/076_n005466_Mamta_Kulkarni/0002.jpg
76,"""Mamta_Kulkarni""",6008,5068,1.801358962438826e-06,dataset/clean_cropped/NN1/076_n005466_Mamta_Kulkarni/0007.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_050/076_n005466_Mamta_Kulkarni/0007.jpg
77,"""Jennifer_Hawkins""",564,3719,1.9248368516855408e-06,dataset/clean_cropped/NN1/077_n003977_Jennifer_Hawkins/0000.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_050/077_n003977_Jennifer_Hawkins/0000.jpg
78,"""Leymah_Gbowee""",4670,4787,6.14272607890598e-07,dataset/clean_cropped/NN1/078_n005152_Leymah_Gbowee/0000.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_050/078_n005152_Leymah_Gbowee/0000.jpg
78,"""Leymah_Gbowee""",1459,4787,4.361779701866908e-06,dataset/clean_cropped/NN1/078_n005152_Leymah_Gbowee/0004.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_050/078_n005152_Leymah_Gbowee/0004.jpg
79,"""Nino_Frassica""",7343,6102,8.042125045903958e-07,dataset/clean_cropped/NN1/079_n006578_Nino_Frassica/0004.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_050/079_n006578_Nino_Frassica/0004.jpg
79,"""Nino_Frassica""",4628,6102,2.7576339789447957e-07,dataset/clean_cropped/NN1/079_n006578_Nino_Frassica/0006.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_050/079_n006578_Nino_Frassica/0006.jpg
79,"""Nino_Frassica""",2160,6102,2.9980192266521044e-06,dataset/clean_cropped/NN1/079_n006578_Nino_Frassica/0007.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_050/079_n006578_Nino_Frassica/0007.jpg
80,"""Zaza_Pachulia""",4469,8523,3.846096205961658e-06,dataset/clean_cropped/NN1/080_n009163_Zaza_Pachulia/0002.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_050/080_n009163_Zaza_Pachulia/0002.jpg
80,"""Zaza_Pachulia""",2410,8523,6.6760667323251255e-06,dataset/clean_cropped/NN1/080_n009163_Zaza_Pachulia/0006.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_050/080_n009163_Zaza_Pachulia/0006.jpg
80,"""Zaza_Pachulia""",2410,8523,7.087546237016795e-06,dataset/clean_cropped/NN1/080_n009163_Zaza_Pachulia/0009.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_050/080_n009163_Zaza_Pachulia/0009.jpg
82,"""Lee_Chung-yong""",7492,4714,7.294073611774365e-08,dataset/clean_cropped/NN1/082_n005064_Lee_Chung-yong/0007.jpg,dataset/attacks/NN1/error_specific/fgsm/least-likely/eps_0_050/082_n005064_Lee_Chung-yong/0007.jpg
