attack_type,eps,eps_step,max_iter,targeted,target_strategy,target_class,dataset_label,identity_id,identity_name,identity_dir,source_image_path,adversarial_image_path,linf,mean_abs_perturbation,clean_pred_class,adv_pred_class,clean_class_confidence
bim,0.025,0.0010416666666666,4,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0000.jpg,dataset/attacks/NN2/error_generic/bim/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0000.jpg,0.004167,0.003497,3894,3894,0.007281624246388674
bim,0.025,0.0010416666666666,4,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0001.jpg,dataset/attacks/NN2/error_generic/bim/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0001.jpg,0.004167,0.003511,3894,3894,0.00747715076431632
bim,0.025,0.0010416666666666,4,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0002.jpg,dataset/attacks/NN2/error_generic/bim/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0002.jpg,0.004167,0.00347,3894,3894,0.007878836244344711
bim,0.025,0.0010416666666666,4,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0003.jpg,dataset/attacks/NN2/error_generic/bim/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0003.jpg,0.004167,0.003497,3894,3894,0.007527818903326988
bim,0.025,0.0010416666666666,4,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0004.jpg,dataset/attacks/NN2/error_generic/bim/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0004.jpg,0.004167,0.003332,3894,3894,0.008260754868388176
bim,0.025,0.0010416666666666,4,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0005.jpg,dataset/attacks/NN2/error_generic/bim/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0005.jpg,0.004167,0.003436,3894,3894,0.007952413521707058
bim,0.025,0.0010416666666666,4,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0006.jpg,dataset/attacks/NN2/error_generic/bim/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0006.jpg,0.004167,0.003531,3894,3894,0.007681115530431271
bim,0.025,0.0010416666666666,4,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0007.jpg,dataset/attacks/NN2/error_generic/bim/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0007.jpg,0.004167,0.003436,3894,3894,0.008102770894765854
bim,0.025,0.0010416666666666,4,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0008.jpg,dataset/attacks/NN2/error_generic/bim/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0008.jpg,0.004167,0.00352,3894,3894,0.007300117984414101
bim,0.025,0.0010416666666666,4,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0009.jpg,dataset/attacks/NN2/error_generic/bim/eps_0_025/000_n007726_Samantha_Ruth_Prabhu/0009.jpg,0.004167,0.003514,3894,3894,0.007660579867660999
bim,0.025,0.0010416666666666,4,False,none,-1,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0000.jpg,dataset/attacks/NN2/error_generic/bim/eps_0_025/001_n002771_Felix_Neureuther/0000.jpg,0.004167,0.003684,3894,3894,0.007086060009896755
bim,0.025,0.0010416666666666,4,False,none,-1,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0001.jpg,dataset/attacks/NN2/error_generic/bim/eps_0_025/001_n002771_Felix_Neureuther/0001.jpg,0.004167,0.003466,3894,3894,0.00801958329975605
bim,0.025,0.0010416666666666,4,False,none,-1,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0002.jpg,dataset/attacks/NN2/error_generic/bim/eps_0_025/001_n002771_Felix_Neureuther/0002.jpg,0.004167,0.003567,3894,3894,0.006581260822713375
bim,0.025,0.0010416666666666,4,False,none,-1,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0003.jpg,dataset/attacks/NN2/error_generic/bim/eps_0_025/001_n002771_Felix_Neureuther/0003.jpg,0.004167,0.003628,3894,3894,0.0077468156814575195
bim,0.025,0.0010416666666666,4,False,none,-1,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0004.jpg,dataset/attacks/NN2/error_generic/bim/eps_0_025/001_n002771_Felix_Neureuther/0004.jpg,0.004167,0.003575,3894,3894,0.007923286408185959
bim,0.025,0.0010416666666666,4,False,none,-1,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0005.jpg,dataset/attacks/NN2/error_generic/bim/eps_0_025/001_n002771_Felix_Neureuther/0005.jpg,0.004167,0.003467,3894,3894,0.008160363882780075
bim,0.025,0.0010416666666666,4,False,none,-1,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0006.jpg,dataset/attacks/NN2/error_generic/bim/eps_0_025/001_n002771_Felix_Neureuther/0006.jpg,0.004167,0.003618,3894,3894,0.007394111715257168
bim,0.025,0.0010416666666666,4,False,none,-1,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0008.jpg,dataset/attacks/NN2/error_generic/bim/eps_0_025/001_n002771_Felix_Neureuther/0008.jpg,0.004167,0.003492,3894,3894,0.007750947959721088
bim,0.025,0.0010416666666666,4,False,none,-1,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0009.jpg,dataset/attacks/NN2/error_generic/bim/eps_0_025/001_n002771_Felix_Neureuther/0009.jpg,0.004167,0.003597,3894,3894,0.007734547834843397
bim,0.025,0.0010416666666666,4,False,none,-1,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0000.jpg,dataset/attacks/NN2/error_generic/bim/eps_0_025/002_n006115_Mike_Posner/0000.jpg,0.004167,0.003376,3894,3894,0.007733025588095188
bim,0.025,0.0010416666666666,4,False,none,-1,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0001.jpg,dataset/attacks/NN2/error_generic/bim/eps_0_025/002_n006115_Mike_Posner/0001.jpg,0.004167,0.003468,3894,3894,0.007309772539883852
bim,0.025,0.0010416666666666,4,False,none,-1,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0002.jpg,dataset/attacks/NN2/error_generic/bim/eps_0_025/002_n006115_Mike_Posner/0002.jpg,0.004167,0.003653,3894,3894,0.006463404279202223
bim,0.025,0.0010416666666666,4,False,none,-1,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0004.jpg,dataset/attacks/NN2/error_generic/bim/eps_0_025/002_n006115_Mike_Posner/0004.jpg,0.004167,0.003536,3894,3894,0.007418123073875904
bim,0.025,0.0010416666666666,4,False,none,-1,2,n006115,"""Mike_Posner""",002_n006115_Mike_Posner,dataset/clean_cropped/NN1/002_n006115_Mike_Posner/0005.jpg,dataset/attacks/NN2/error_generic/bim/eps_0_025/002_n006115_Mike_Posner/0005.jpg,0.004167,0.003362,3894,3894,0.00787352304905653
