attack_type,overshoot,max_iter,nb_grads,targeted,target_strategy,target_class,dataset_label,identity_id,identity_name,identity_dir,source_image_path,adversarial_image_path,linf,mean_abs_perturbation,clean_pred_class,adv_pred_class,clean_confidence,adv_confidence
deepfool,0.15,5,3,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0000.tiff,dataset/attacks/NN1/error_generic/deepfool/samples/000_n007726_Samantha_Ruth_Prabhu/0000.tiff,0.035743,0.001019,7185,6722,0.9270185232162476,0.3126995265483856
deepfool,0.15,5,3,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0001.tiff,dataset/attacks/NN1/error_generic/deepfool/samples/000_n007726_Samantha_Ruth_Prabhu/0001.tiff,0.001185,2.7e-05,7185,1168,0.10687143355607986,0.09112006425857544
deepfool,0.15,5,3,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0002.tiff,dataset/attacks/NN1/error_generic/deepfool/samples/000_n007726_Samantha_Ruth_Prabhu/0002.tiff,0.028552,0.000701,7185,7483,0.8398048281669617,0.312114953994751
deepfool,0.15,5,3,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0003.tiff,dataset/attacks/NN1/error_generic/deepfool/samples/000_n007726_Samantha_Ruth_Prabhu/0003.tiff,0.031696,0.001231,7185,7711,0.8949775695800781,0.32171204686164856
deepfool,0.15,5,3,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0004.tiff,dataset/attacks/NN1/error_generic/deepfool/samples/000_n007726_Samantha_Ruth_Prabhu/0004.tiff,0.011278,0.00049,7185,4277,0.7212339639663696,0.2641880512237549
deepfool,0.15,5,3,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0005.tiff,dataset/attacks/NN1/error_generic/deepfool/samples/000_n007726_Samantha_Ruth_Prabhu/0005.tiff,0.007033,0.000229,7185,639,0.3282994031906128,0.1617516577243805
deepfool,0.15,5,3,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0006.tiff,dataset/attacks/NN1/error_generic/deepfool/samples/000_n007726_Samantha_Ruth_Prabhu/0006.tiff,0.03644,0.001589,7185,6688,0.8447979688644409,0.2338143140077591
deepfool,0.15,5,3,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0007.tiff,dataset/attacks/NN1/error_generic/deepfool/samples/000_n007726_Samantha_Ruth_Prabhu/0007.tiff,0.00031,1.6e-05,7185,7475,0.09410300105810165,0.08779050409793854
deepfool,0.15,5,3,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0008.tiff,dataset/attacks/NN1/error_generic/deepfool/samples/000_n007726_Samantha_Ruth_Prabhu/0008.tiff,0.003855,0.000121,7185,4236,0.2513635754585266,0.14937768876552582
deepfool,0.15,5,3,False,none,-1,0,n007726,"""Samantha_Ruth_Prabhu""",000_n007726_Samantha_Ruth_Prabhu,dataset/clean_cropped/NN1/000_n007726_Samantha_Ruth_Prabhu/0009.tiff,dataset/attacks/NN1/error_generic/deepfool/samples/000_n007726_Samantha_Ruth_Prabhu/0009.tiff,0.018653,0.000628,7185,4540,0.605159342288971,0.1876882016658783
deepfool,0.15,5,3,False,none,-1,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0000.tiff,dataset/attacks/NN1/error_generic/deepfool/samples/001_n002771_Felix_Neureuther/0000.tiff,0.060272,0.00166,2585,375,0.7833428382873535,0.20082929730415344
deepfool,0.15,5,3,False,none,-1,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0001.tiff,dataset/attacks/NN1/error_generic/deepfool/samples/001_n002771_Felix_Neureuther/0001.tiff,0.004015,0.000204,2585,4240,0.28106293082237244,0.14653977751731873
deepfool,0.15,5,3,False,none,-1,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0002.tiff,dataset/attacks/NN1/error_generic/deepfool/samples/001_n002771_Felix_Neureuther/0002.tiff,0.024639,0.000893,2585,5566,0.8378881812095642,0.3084389865398407
deepfool,0.15,5,3,False,none,-1,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0003.tiff,dataset/attacks/NN1/error_generic/deepfool/samples/001_n002771_Felix_Neureuther/0003.tiff,0.042786,0.001455,2585,4240,0.8820383548736572,0.24833279848098755
deepfool,0.15,5,3,False,none,-1,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0004.tiff,dataset/attacks/NN1/error_generic/deepfool/samples/001_n002771_Felix_Neureuther/0004.tiff,0.017448,0.000593,2585,2349,0.7787525057792664,0.25166457891464233
deepfool,0.15,5,3,False,none,-1,1,n002771,"""Felix_Neureuther""",001_n002771_Felix_Neureuther,dataset/clean_cropped/NN1/001_n002771_Felix_Neureuther/0005.tiff,dataset/attacks/NN1/error_generic/deepfool/samples/001_n002771_Felix_Neureuther/0005.tiff,0.009115,0.000324,2585,8053,0.34893709421157837,0.12417107075452805
